feature,prevalence_all,prevalence_underpriced,prevalence_overpriced,underpay_lift,overpay_lift,net_skew
has_garage,0.17717206132879046,0.2857142857142857,0.08064516129032258,1.6126373626373625,0.4551799007444169,1.1574574618929458
has_terrace,0.2453151618398637,0.35714285714285715,0.16129032258064516,1.4558531746031746,0.6574820788530465,0.7983710957501281
has_storage_room,0.1362862010221465,0.14285714285714285,0.08064516129032258,1.0482142857142858,0.591733870967742,0.4564804147465438
is_exterior,0.7444633730834753,0.7857142857142857,0.5645161290322581,1.0554102647924157,0.7582859673728501,0.29712429741956564
has_elevator,0.7257240204429302,0.7857142857142857,0.6774193548387096,1.0826626425217973,0.9334393457519309,0.14922329676986656
has_wardrobes,0.7308347529812607,0.7142857142857143,0.6612903225806451,0.9773559773559773,0.9048424693585984,0.07251350799737903
has_equipped_kitchen,0.7001703577512777,0.7142857142857143,0.7096774193548387,1.0201598887730274,1.013578212071266,0.006581676701761439
is_new_construction,0.005110732538330494,0.0,0.0,0.0,0.0,0.0
has_pool,0.10221465076660988,0.07142857142857142,0.08064516129032258,0.6988095238095238,0.7889784946236559,-0.09016897081413212
has_balcony,0.19761499148211242,0.21428571428571427,0.24193548387096775,1.08435960591133,1.224276974416018,-0.13991736850468786
is_furnished,0.7223168654173765,0.7142857142857143,0.8709677419354839,0.9888814016172507,1.2057973219720024,-0.21691592035475174
has_air_conditioning,0.7649063032367973,0.6428571428571429,0.9032258064516129,0.8404390709513204,1.1808319563187009,-0.34039288536738055
has_video,0.3628620102214651,0.21428571428571427,0.46774193548387094,0.590543259557344,1.2890352869907618,-0.6984920274334178
has_ensuite,0.15332197614991483,0.0,0.1935483870967742,0.0,1.2623655913978493,-1.2623655913978493
is_modern,0.19250425894378195,0.0,0.3387096774193548,0.0,1.7594918641164714,-1.7594918641164714
